"IndividualId","Time [min]","Organism|Lung|Interstitial|Raltegravir|Concentration [µmol/l]"
2,72,4.039376
2,75,3.877438
2,78,3.724396
2,81,3.579705
2,84,3.442832
2,87,3.313268
2,90,3.190531
2,93,3.074166
2,96,2.963748
2,99,2.858884
2,102,2.759208
2,105,2.66438
2,108,2.574086
2,111,2.488039
2,114,2.405971
2,117,2.327635
2,120,2.252804
2,135,1.924389
2,150,1.657917
2,165,1.438764
2,180,1.25656
2,195,1.103734
2,210,0.9746085
2,225,0.8648219
2,240,0.770961
2,255,0.6903137
2,270,0.6206989
2,285,0.5603463
2,300,0.5078086
2,315,0.4618942
2,330,0.4216181
2,345,0.3861621
2,360,0.3548434
2,375,0.3270902
2,390,0.3024217
2,405,0.2804322
2,420,0.2607778
2,435,0.243166
2,450,0.2273471
2,465,0.2131069
2,480,0.200261
2,495,0.1886499
2,510,0.1781352
2,525,0.1685965
2,540,0.1599281
2,555,0.1520375
2,570,0.1448431
2,585,0.1382726
2,600,0.1322622
2,615,0.126755
2,630,0.1217003
2,645,0.1170527
2,660,0.1127719
2,675,0.1088215
2,690,0.1051688
2,705,0.1017846
2,720,0.09864257
2,735,0.09571897
2,750,0.09299248
2,765,0.09044389
2,780,0.08805589
2,795,0.08581285
2,810,0.08370078
2,825,0.08170705
2,840,0.07982033
2,855,0.07803041
2,870,0.07632816
2,885,0.07470533
2,900,0.07315456
2,915,0.07166924
2,930,0.07024346
2,945,0.06887193
2,960,0.06754994
2,975,0.06627328
2,990,0.06503817
2,1005,0.06384127
2,1020,0.0626796
2,1035,0.06155051
2,1050,0.06045163
2,1065,0.05938089
2,1080,0.0583364
2,1095,0.05731654
2,1110,0.05631982
2,1125,0.05534495
2,1140,0.05439078
2,1155,0.05345627
2,1170,0.05254051
2,1185,0.0516427
2,1200,0.05076209
2,1215,0.04989805
2,1230,0.04904998
2,1245,0.04821737
2,1260,0.04739974
2,1275,0.04659666
2,1290,0.04580774
2,1305,0.04503262
2,1320,0.04427096
2,1335,0.04352246
2,1350,0.04278684
2,1365,0.04206382
2,1380,0.04135315
2,1395,0.0406546
2,1410,0.03996794
2,1425,0.03929294
2,1440,0.03862939
3,0,0
3,3,0.03739119
3,6,0.2282477
3,9,0.5566251
3,12,0.9997502
3,15,1.519075
3,18,2.066817
3,21,2.598539
3,24,3.079971
3,27,3.489102
3,30,3.815481
3,33,4.057983
3,36,4.221997
3,39,4.316727
3,42,4.352996
3,45,4.341821
3,48,4.293416
3,51,4.216717
3,54,4.119244
3,57,4.007134
3,60,3.885303
3,63,3.75762
3,66,3.627084
3,69,3.495986
3,72,3.366043
3,75,3.238519
3,78,3.114328
3,81,2.994099
3,84,2.878238
3,87,2.766984
3,90,2.660448
3,93,2.558647
3,96,2.461527
3,99,2.36898
3,102,2.28086
3,105,2.196996
3,108,2.117204
3,111,2.041292
3,114,1.969065
3,117,1.900329
3,120,1.834895
3,135,1.55107
3,150,1.325631
3,165,1.143786
3,180,0.9949799
3,195,0.8716982
3,210,0.7685093
3,225,0.6814028
3,240,0.6073498
3,255,0.5440098
3,270,0.489543
3,285,0.4424804
3,300,0.4016351
3,315,0.3660398
3,330,0.3348976
3,345,0.3075489
3,360,0.283446
3,375,0.2621312
3,390,0.2432193
3,405,0.226383
3,420,0.2113156
3,435,0.1977919
3,450,0.1856243
3,465,0.1746506
3,480,0.1647304
3,495,0.1557423
3,510,0.147581
3,525,0.140155
3,540,0.1333847
3,555,0.1272003
3,570,0.1215408
3,585,0.1163524
3,600,0.1115878
3,615,0.1072049
3,630,0.1031664
3,645,0.09943911
3,660,0.09599344
3,675,0.09280279
3,690,0.08984333
3,705,0.08709364
3,720,0.08453438
3,735,0.08214811
3,750,0.07991904
3,765,0.07783289
3,780,0.07587671
3,795,0.07403874
3,810,0.07230829
3,825,0.07067569
3,840,0.06913211
3,855,0.06766955
3,870,0.06628071
3,885,0.06495898
3,900,0.06369834
3,915,0.06249331
3,930,0.06133894
3,945,0.0602307
3,960,0.05916452
3,975,0.05813668
3,990,0.05714382
3,1005,0.05618292
3,1020,0.05525121
3,1035,0.05434624
3,1050,0.05346575
3,1065,0.05260774
3,1080,0.05177041
3,1095,0.05095211
3,1110,0.05015142
3,1125,0.049367
3,1140,0.04859771
3,1155,0.04784251
3,1170,0.04710048
3,1185,0.04637079
3,1200,0.04565272
3,1215,0.04494564
3,1230,0.04424897
3,1245,0.04356221
3,1260,0.04288495
3,1275,0.04221678
3,1290,0.04155739
3,1305,0.04090647
3,1320,0.0402638
3,1335,0.03962914
3,1350,0.03900231
3,1365,0.03838317
3,1380,0.03777156
3,1395,0.03716737
3,1410,0.03657052
3,1425,0.03598091
3,1440,0.03539848
4,0,0
4,3,0.02500355
4,6,0.1666789
4,9,0.4115779
4,12,0.7388387
4,15,1.127198
4,18,1.550989
4,21,1.984721
4,24,2.406502
4,27,2.799342
4,30,3.151304
4,33,3.454973
4,36,3.706823
4,39,3.906409
