06/09/2020 - 02:45:22 : For individualID 2 : Values 'C_max_norm' are not all included in parent values: 'C_max', 't_max', 'C_tEnd', 'AUC_tEnd', 'AUC_inf', 'MRT', 'Thalf', 'FractionAucLastToInf', 'CL', 'Vss', 'Vd'.
06/09/2020 - 02:45:22 : For individualID 0 : Values 'C_max_norm' are not all included in parent values: 'C_max', 't_max', 'C_tEnd', 'AUC_tEnd', 'AUC_inf', 'MRT', 'Thalf', 'FractionAucLastToInf', 'CL', 'Vss', 'Vd'.
06/09/2020 - 02:45:22 : For individualID 1 : Values 'C_max_norm' are not all included in parent values: 'C_max', 't_max', 'C_tEnd', 'AUC_tEnd', 'AUC_inf', 'MRT', 'Thalf', 'FractionAucLastToInf', 'CL', 'Vss', 'Vd'.
06/09/2020 - 02:45:23 : For individualID 7 : Values 'AUC_tEnd_norm' are not all included in parent values: 'C_max', 't_max', 'C_tEnd', 'AUC_tEnd', 'AUC_inf', 'MRT', 'Thalf', 'FractionAucLastToInf', 'CL', 'Vss', 'Vd'.
06/09/2020 - 02:45:23 : For individualID 3 : Values 'AUC_tEnd_norm' are not all included in parent values: 'C_max', 't_max', 'C_tEnd', 'AUC_tEnd', 'AUC_inf', 'MRT', 'Thalf', 'FractionAucLastToInf', 'CL', 'Vss', 'Vd'.
06/09/2020 - 02:45:23 : For individualID 5 : Values 'AUC_tEnd_norm' are not all included in parent values: 'C_max', 't_max', 'C_tEnd', 'AUC_tEnd', 'AUC_inf', 'MRT', 'Thalf', 'FractionAucLastToInf', 'CL', 'Vss', 'Vd'.
06/09/2020 - 02:45:24 : For individualID 7 : Values 'AUC_inf_norm' are not all included in parent values: 'C_max', 't_max', 'C_tEnd', 'AUC_tEnd', 'AUC_inf', 'MRT', 'Thalf', 'FractionAucLastToInf', 'CL', 'Vss', 'Vd'.
06/09/2020 - 02:45:24 : For individualID 1 : Values 'AUC_inf_norm' are not all included in parent values: 'C_max', 't_max', 'C_tEnd', 'AUC_tEnd', 'AUC_inf', 'MRT', 'Thalf', 'FractionAucLastToInf', 'CL', 'Vss', 'Vd'.
06/09/2020 - 02:45:24 : For individualID 0 : Values 'AUC_inf_norm' are not all included in parent values: 'C_max', 't_max', 'C_tEnd', 'AUC_tEnd', 'AUC_inf', 'MRT', 'Thalf', 'FractionAucLastToInf', 'CL', 'Vss', 'Vd'.
